taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
102	Polaribacter glomeratus	2	976	117743	200644	49546	52959		102
986	Flavobacterium johnsoniae	2	976	117743	200644	49546	237		986
991	Flavobacterium hydatis	2	976	117743	200644	49546	237		991
28188	Capnocytophaga canimorsus	2	976	117743	200644	49546	1016		28188
45243	Capnocytophaga haemolytica	2	976	117743	200644	49546	1016		45243
53483	Polaribacter filamentus	2	976	117743	200644	49546	52959		53483
57032	Polaribacter sp. IC066	2	976	117743	200644	49546	52959		57032
192149	Muricauda sp.	2	976	117743	200644	49546	111500		192149
229205	Flavobacterium micromati	2	976	117743	200644	49546	237		229205
249351	Flavobacterium psychrolimnae	2	976	117743	200644	49546	237		249351
254955	Muricauda aquimarina	2	976	117743	200644	49546	111500		254955
270914	Myroides pelagicus	2	976	117743	200644	49546	76831		270914
271156	Flavobacterium weaverense	2	976	117743	200644	49546	237		271156
329186	Flavobacterium saliperosum	2	976	117743	200644	49546	237		329186
346185	Muricauda eckloniae	2	976	117743	200644	49546	111500		346185
361581	Tenacibaculum discolor	2	976	117743	200644	49546	104267		361581
362418	Flavobacterium reichenbachii	2	976	117743	200644	49546	237		362418
370979	Flavobacterium defluvii	2	976	117743	200644	49546	237		370979
402734	Flavobacterium terrigena	2	976	117743	200644	49546	237		402734
415425	Flavobacterium terrae	2	976	117743	200644	49546	237		415425
426481	Tenacibaculum aiptasiae	2	976	117743	200644	49546	104267		426481
459471	Flavobacterium tiangeerense	2	976	117743	200644	49546	237		459471
468056	Flavobacterium fluvii	2	976	117743	200644	49546	237		468056
472055	Leptobacterium flavescens	2	976	117743	200644	49546	472054		472055
480520	Myroides profundi	2	976	117743	200644	49546	76831		480520
552546	Muricauda olearia	2	976	117743	200644	49546	111500		552546
570519	Muricauda flava	2	976	117743	200644	49546	111500		570519
574710	Polaribacter gangjinensis	2	976	117743	200644	49546	52959		574710
728056	Flavobacterium oncorhynchi	2	976	117743	200644	49546	237		728056
864064	Muricauda beolgyonensis	2	976	117743	200644	49546	111500		864064
935224	Flavobacterium urumqiense	2	976	117743	200644	49546	237		935224
1038845	Flavobacterium rakeshii	2	976	117743	200644	49546	237		1038845
1084421	Sinomicrobium pectinilyticum	2	976	117743	200644	49546	1434045		1084421
1101402	Flavobacterium aciduliphilum	2	976	117743	200644	49546	237		1101402
1114874	Flavobacterium piscis	2	976	117743	200644	49546	237		1114874
