taxID	name	level	branch_length	source
102	Polaribacter glomeratus	species	0	Both
986	Flavobacterium johnsoniae	species	0.012575	Both
991	Flavobacterium hydatis	species	0	Both
28188	Capnocytophaga canimorsus	species	0	Both
45243	Capnocytophaga haemolytica	species	0	Both
53483	Polaribacter filamentus	species	0	Both
57032	Polaribacter sp. IC066	species	0	Both
192149	Muricauda sp.	species	0.031235	Both
229205	Flavobacterium micromati	species	0	Both
249351	Flavobacterium psychrolimnae	species	0	Both
254955	Muricauda aquimarina	species	0	Both
270914	Myroides pelagicus	species	0	Both
271156	Flavobacterium weaverense	species	0	Both
329186	Flavobacterium saliperosum	species	0	Both
346185	Muricauda eckloniae	species	0	Both
361581	Tenacibaculum discolor	species	0	Both
362418	Flavobacterium reichenbachii	species	0	Both
370979	Flavobacterium defluvii	species	0	Both
402734	Flavobacterium terrigena	species	0	Both
415425	Flavobacterium terrae	species	0	Both
426481	Tenacibaculum aiptasiae	species	0	Both
459471	Flavobacterium tiangeerense	species	0	Both
468056	Flavobacterium fluvii	species	0	Both
472055	Leptobacterium flavescens	species	0	Both
480520	Myroides profundi	species	0	Both
552546	Muricauda olearia	species	0	Both
570519	Muricauda flava	species	0	Both
574710	Polaribacter gangjinensis	species	0	Both
728056	Flavobacterium oncorhynchi	species	0	Both
864064	Muricauda beolgyonensis	species	0	Both
935224	Flavobacterium urumqiense	species	0	Both
1038845	Flavobacterium rakeshii	species	0	Both
1084421	Sinomicrobium pectinilyticum	species	0	Both
1101402	Flavobacterium aciduliphilum	species	0	Both
1114874	Flavobacterium piscis	species	0	Both
1159016	Flavobacterium marinum	species	0	Both
1250005	Polaribacter sp. Hel1_85	species	0	Both
1270193	Flavobacterium sp. KJJ	species	0	Both
1306519	Flavobacterium commune	species	0	Both
1325435	Tenacibaculum caenipelagi	species	0	Both
1333662	Polaribacter atrinae	species	0	Both
1383885	Flagellimonas maritima	species	0	Both
1478199	Flavobacterium notoginsengisoli	species	0	Both
1603293	Flavobacterium sp. 316	species	0	Both
1617283	Flavobacterium nitrogenifigens	species	0	Both
1678728	Flavobacterium kingsejongi	species	0	Both
1699509	Flavobacterium sp. NLM	species	0	Both
1736238	Flavobacterium sp. Leaf82	species	0	Both
1736533	Flavobacterium sp. Root420	species	0	Both
1774273	Polaribacter vadi	species	0	Both
1775167	Croceivirga lutea	species	0	Both
1912138	Croceitalea sp.	species	0	Both
1920175	Polaribacter sp.	species	0	Both
1921138	Flavobacterium sufflavum	species	0	Both
1946555	Flavobacterium sp. UBA6203	species	0	Both
1946557	Flavobacterium sp. UBA7663	species	0	Both
2022802	Flavobacterium cyanobacteriorum	species	0	Both
2023067	Flavobacterium aurantiibacter	species	0	Both
2035199	Flavobacterium sp. 5	species	0	Both
2058137	Polaribacter sp. ALD11	species	0	Both
2058306	Tenacibaculum sp. Bg11-29	species	0	Both
2060419	Flavobacterium sp. J27	species	0	Both
2080416	Flavobacterium alvei	species	0	Both
2133765	Flavobacterium circumlabens	species	0	Both
2133766	Flavobacterium cupreum	species	0	Both
2135627	Flavobacterium sp. 123	species	0	Both
2162892	Muricauda brasiliensis	species	0	Both
2170732	Flavobacterium sp. HTF	species	0	Both
2175091	Flavobacterium album	species	0	Both
2233533	Flavobacterium tibetense	species	0	Both
2249356	Flavobacterium fluviale	species	0	Both
2306998	Muricauda maritima	species	0	Both
2478552	Flavobacterium sp. 140616W15	species	0	Both
2506422	Flavobacterium amnicola	species	0	Both
2512115	Flavobacterium sp. 245	species	0	Both
2518177	Flavobacterium sangjuense	species	0	Both
2594432	Flavobacterium gawalongense	species	0	Both
2594437	Flavobacterium sp. GT3R68	species	0	Both
2596891	Flavobacterium microcysteis	species	0	Both
2602769	Flavobacterium alkalisoli	species	0	Both
2654325	Flavobacterium sp. xlx-214	species	0	Both
2692211	Flavobacterium sp. Sd200	species	0	Both
2692212	Flavobacterium sp. HBTb2-11-1	species	0	Both
2697515	Flavobacterium phycosphaerae	species	0	Both
2704140	Flavobacterium bizetiae	species	0	Both
2708117	Capnocytophaga endodontalis	species	0	Both
2759945	Myroides sp. NP-2	species	0	Both
2764716	Flavobacterium muglaense	species	0	Both
2764718	Flavobacterium turcicum	species	0	Both
2781243	Tenacibaculum finnmarkense	species	0	Both
531	Polaribacter irgensii	species	0	Both
312277	Flavobacterium indicum	species	0	Both
453852	Joostella marina	species	0	Both
475082	Muricauda lutimaris	genus	0.134896	Added Source Only
554283	Flavobacterium chungangense	species	0	Both
691689	Lutibacter flavus	genus	0	Added Source Only
712213	Capnocytophaga sp. oral taxon 332	species	0	Both
1355330	Flavobacterium faecale	genus	0.218188423236515	Added Source Only
1635173	Tenacibaculum holothuriorum	genus	0.102377058823529	Added Source Only
2898423	Flavobacterium salilacus	species	0	Both
239	Flavobacterium sp.	species	0.198414666666667	Phylogeny Only
983	Flavobacterium flevense	species	0	Phylogeny Only
996	Flavobacterium columnare	species	0.02539	Phylogeny Only
1019	Capnocytophaga sputigena	species	0	Phylogeny Only
29533	Flavobacterium pectinovorum	species	0.021145	Phylogeny Only
29534	Flavobacterium saccharophilum	species	0	Phylogeny Only
29536	Flavobacterium succinicans	species	0.01463	Phylogeny Only
37752	Flavobacterium hibernum	species	0	Phylogeny Only
69322	Flavobacterium xanthum	species	0	Phylogeny Only
76832	Myroides odoratimimus	species	0	Phylogeny Only
96345	Flavobacterium psychrophilum	species	0.16729	Phylogeny Only
104268	Tenacibaculum mesophilum	species	0	Phylogeny Only
178355	Flavobacterium omnivorum	species	0	Phylogeny Only
178356	Flavobacterium xinjiangense	species	0	Phylogeny Only
180441	Flavobacterium limicola	species	0	Phylogeny Only
218490	Polaribacter butkevichii	species	0	Phylogeny Only
229203	Flavobacterium degerlachei	species	0	Phylogeny Only
262320	Flavobacterium frigidimaris	species	0	Phylogeny Only
271157	Flavobacterium segetis	species	0	Phylogeny Only
280093	Flavobacterium granuli	species	0	Phylogeny Only
285258	Tenacibaculum lutimaris	species	0	Phylogeny Only
295428	Flavobacterium cheniae	species	0	Phylogeny Only
313598	Polaribacter sp. MED152	species	0	Phylogeny Only
319238	Sediminicola luteus	species	0	Phylogeny Only
321269	Tenacibaculum litoreum	species	0	Phylogeny Only
327575	Capnocytophaga leadbetteri	species	0	Phylogeny Only
350893	Flavobacterium daejeonense	species	0.00489	Phylogeny Only
357523	Flavobacterium sp. 11	species	0	Phylogeny Only
362413	Flavobacterium aquidurense	species	0.017365	Phylogeny Only
386300	Flavobacterium glaciei	species	0	Phylogeny Only
400055	Robiginitalea myxolifaciens	species	0	Phylogeny Only
416016	Flavobacterium cucumis	species	0	Phylogeny Only
