taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
102	Polaribacter glomeratus	2	976	117743	200644	49546	52959		102
239	Flavobacterium sp.	2	976	117743	200644	49546	237		239
983	Flavobacterium flevense	2	976	117743	200644	49546	237		983
986	Flavobacterium johnsoniae	2	976	117743	200644	49546	237		986
991	Flavobacterium hydatis	2	976	117743	200644	49546	237		991
996	Flavobacterium columnare	2	976	117743	200644	49546	237		996
1019	Capnocytophaga sputigena	2	976	117743	200644	49546	1016		1019
28188	Capnocytophaga canimorsus	2	976	117743	200644	49546	1016		28188
29533	Flavobacterium pectinovorum	2	976	117743	200644	49546	237		29533
29534	Flavobacterium saccharophilum	2	976	117743	200644	49546	237		29534
29536	Flavobacterium succinicans	2	976	117743	200644	49546	237		29536
37752	Flavobacterium hibernum	2	976	117743	200644	49546	237		37752
45243	Capnocytophaga haemolytica	2	976	117743	200644	49546	1016		45243
53483	Polaribacter filamentus	2	976	117743	200644	49546	52959		53483
57032	Polaribacter sp. IC066	2	976	117743	200644	49546	52959		57032
69322	Flavobacterium xanthum	2	976	117743	200644	49546	237		69322
76832	Myroides odoratimimus	2	976	117743	200644	49546	76831		76832
96345	Flavobacterium psychrophilum	2	976	117743	200644	49546	237		96345
104268	Tenacibaculum mesophilum	2	976	117743	200644	49546	104267		104268
178355	Flavobacterium omnivorum	2	976	117743	200644	49546	237		178355
178356	Flavobacterium xinjiangense	2	976	117743	200644	49546	237		178356
180441	Flavobacterium limicola	2	976	117743	200644	49546	237		180441
192149	Muricauda sp.	2	976	117743	200644	49546	111500		192149
218490	Polaribacter butkevichii	2	976	117743	200644	49546	52959		218490
229203	Flavobacterium degerlachei	2	976	117743	200644	49546	237		229203
229205	Flavobacterium micromati	2	976	117743	200644	49546	237		229205
249351	Flavobacterium psychrolimnae	2	976	117743	200644	49546	237		249351
254955	Muricauda aquimarina	2	976	117743	200644	49546	111500		254955
262320	Flavobacterium frigidimaris	2	976	117743	200644	49546	237		262320
270914	Myroides pelagicus	2	976	117743	200644	49546	76831		270914
271156	Flavobacterium weaverense	2	976	117743	200644	49546	237		271156
271157	Flavobacterium segetis	2	976	117743	200644	49546	237		271157
280093	Flavobacterium granuli	2	976	117743	200644	49546	237		280093
285258	Tenacibaculum lutimaris	2	976	117743	200644	49546	104267		285258
295428	Flavobacterium cheniae	2	976	117743	200644	49546	237		295428
313598	Polaribacter sp. MED152	2	976	117743	200644	49546	52959		313598
319238	Sediminicola luteus	2	976	117743	200644	49546	389486		319238
321269	Tenacibaculum litoreum	2	976	117743	200644	49546	104267		321269
327575	Capnocytophaga leadbetteri	2	976	117743	200644	49546	1016		327575
329186	Flavobacterium saliperosum	2	976	117743	200644	49546	237		329186
346185	Muricauda eckloniae	2	976	117743	200644	49546	111500		346185
350893	Flavobacterium daejeonense	2	976	117743	200644	49546	237		350893
357523	Flavobacterium sp. 11	2	976	117743	200644	49546	237		357523
361581	Tenacibaculum discolor	2	976	117743	200644	49546	104267		361581
362413	Flavobacterium aquidurense	2	976	117743	200644	49546	237		362413
362418	Flavobacterium reichenbachii	2	976	117743	200644	49546	237		362418
370979	Flavobacterium defluvii	2	976	117743	200644	49546	237		370979
386300	Flavobacterium glaciei	2	976	117743	200644	49546	237		386300
400055	Robiginitalea myxolifaciens	2	976	117743	200644	49546	252306		400055
402734	Flavobacterium terrigena	2	976	117743	200644	49546	237		402734
415425	Flavobacterium terrae	2	976	117743	200644	49546	237		415425
416016	Flavobacterium cucumis	2	976	117743	200644	49546	237		416016
426481	Tenacibaculum aiptasiae	2	976	117743	200644	49546	104267		426481
428988	Flavobacterium lindanitolerans	2	976	117743	200644	49546	237		428988
459471	Flavobacterium tiangeerense	2	976	117743	200644	49546	237		459471
459526	Flavobacterium anhuiense	2	976	117743	200644	49546	237		459526
468056	Flavobacterium fluvii	2	976	117743	200644	49546	237		468056
472055	Leptobacterium flavescens	2	976	117743	200644	49546	472054		472055
480520	Myroides profundi	2	976	117743	200644	49546	76831		480520
498292	Flavobacterium swingsii	2	976	117743	200644	49546	237		498292
516051	Muricauda lutaonensis	2	976	117743	200644	49546	111500		516051
551990	Flavobacterium glycines	2	976	117743	200644	49546	237		551990
552546	Muricauda olearia	2	976	117743	200644	49546	111500		552546
555500	Galbibacter marinus	2	976	117743	200644	49546	379068		555500
570519	Muricauda flava	2	976	117743	200644	49546	111500		570519
574710	Polaribacter gangjinensis	2	976	117743	200644	49546	52959		574710
584609	Tenacibaculum jejuense	2	976	117743	200644	49546	104267		584609
604089	Flavobacterium sinopsychrotolerans	2	976	117743	200644	49546	237		604089
657326	Flavobacterium beibuense	2	976	117743	200644	49546	237		657326
669041	Tenacibaculum dicentrarchi	2	976	117743	200644	49546	104267		669041
683124	Flavobacterium haoranii	2	976	117743	200644	49546	237		683124
687844	Flavobacterium ginsenosidimutans	2	976	117743	200644	49546	237		687844
702745	Myroides phaeus	2	976	117743	200644	49546	76831		702745
728056	Flavobacterium oncorhynchi	2	976	117743	200644	49546	237		728056
739143	Flavobacterium phragmitis	2	976	117743	200644	49546	237		739143
754426	Tenacibaculum sp. SG-28	2	976	117743	200644	49546	104267		754426
864064	Muricauda beolgyonensis	2	976	117743	200644	49546	111500		864064
913024	Flavobacterium ummariense	2	976	117743	200644	49546	237		913024
935223	Flavobacterium xueshanense	2	976	117743	200644	49546	237		935223
935224	Flavobacterium urumqiense	2	976	117743	200644	49546	237		935224
946677	Flavobacterium chilense	2	976	117743	200644	49546	237		946677
985043	Polaribacter sejongensis	2	976	117743	200644	49546	52959		985043
1005926	Muricauda taeanensis	2	976	117743	200644	49546	111500		1005926
1038845	Flavobacterium rakeshii	2	976	117743	200644	49546	237		1038845
1080225	Muricauda pacifica	2	976	117743	200644	49546	111500		1080225
1084421	Sinomicrobium pectinilyticum	2	976	117743	200644	49546	1434045		1084421
1101402	Flavobacterium aciduliphilum	2	976	117743	200644	49546	237		1101402
1114861	Flavobacterium collinsii	2	976	117743	200644	49546	237		1114861
1114867	Flavobacterium plurextorum	2	976	117743	200644	49546	237		1114867
1114874	Flavobacterium piscis	2	976	117743	200644	49546	237		1114874
1124188	Flavobacterium fontis	2	976	117743	200644	49546	237		1124188
1128970	Flavobacterium noncentrifugens	2	976	117743	200644	49546	237		1128970
1131812	Flavobacterium sp. 83	2	976	117743	200644	49546	237		1131812
1137780	Polaribacter porphyrae	2	976	117743	200644	49546	52959		1137780
1150112	Myroides guanonis	2	976	117743	200644	49546	76831		1150112
1150368	Sinomicrobium oceani	2	976	117743	200644	49546	1434045		1150368
1159016	Flavobacterium marinum	2	976	117743	200644	49546	237		1159016
1189620	Flavobacterium sp. ACAM 123	2	976	117743	200644	49546	237		1189620
1202724	Flavobacterium akiainvivens	2	976	117743	200644	49546	237		1202724
1224947	Pustulibacterium marinum	2	976	117743	200644	49546	1649485		1224947
1227945	Robertkochia marina	2	976	117743	200644	49546	1649489		1227945
1236486	Flavobacterium aquaticum	2	976	117743	200644	49546	237		1236486
1250005	Polaribacter sp. Hel1_85	2	976	117743	200644	49546	52959		1250005
1250006	Polaribacter sp. Hel_I_88	2	976	117743	200644	49546	52959		1250006
1250059	Tenacibaculum sp. MAR_2009_124	2	976	117743	200644	49546	104267		1250059
1250198	Tenacibaculum sp. MAR_2010_89	2	976	117743	200644	49546	104267		1250198
1250232	Muricauda sp. MAR_2010_75	2	976	117743	200644	49546	111500		1250232
1265740	Flavobacterium cutihirudinis	2	976	117743	200644	49546	237		1265740
1270193	Flavobacterium sp. KJJ	2	976	117743	200644	49546	237		1270193
1298868	Flavobacterium sp. URHB0058	2	976	117743	200644	49546	237		1298868
1299341	Flavobacterium urocaniciphilum	2	976	117743	200644	49546	237		1299341
